masters,1
service,3
selected,1
all,1
education,3
alma,1
now,1
supports,1
backgrounds,1
integral,1
moderate,1
by,5
fosters,1
broad,1
acclaimed,1
preserve,1
community,1
research,5
size,1
the,24
college,1
student,2
doctoral,1
environment,2
variety,1
educational,1
excellence,2
role,1
needed,1
citizens,1
charter,1
well-being,1
in,10
curriculum,1
character,1
attract,1
modern,1
social,1
mater,1
second-oldest,1
undergraduate,5
nation,4
A&S,2
independent,1
develop,1
create,1
century,1
predominantly,1
MarineScience.,1
at,2
imparts,1
quality,2
recognizes,1
commitment,1
internation,2
established,1
opportunities,2
for,6
further,1
an,2
continues,1
best,1
better,1
faculty,4
this,2
outstanding,1
challenging,1
united,1
from,1
condition,1
WM.,1
transmit,1
designed,1
five,1
sciences,2
HigherLearning,1
high,1
development,1
diverse,3
thought,1
university,2
unique,1
academic,1
institution,1
students,7
knowledge,3
world.,1
royal,1
linked,1
through,2
talented,1
dedicated,1
features,1
tradition,1
source,1
life-long,1
combining,1
law,2
professional,3
original,1
business,2
body.,1
leadership,1
fulfilling,1
well,1
it,1
teacher.,1
specific,2
interaction,1
as,3
teachers.,1
a,15
discovery,1
among,2
liberal,2
wide,1
history,1
parts,1
following,1
offer,1
states.,1
american,1
which,1
enhanced,1
use,1
and,33
intellectual,4
knowledge.,1
learning,2
depth,1
patriots,1
introducing,1
both,3
british,1
problems,1
concern,1
graduate,3
instill,1
curiosity,1
public,8
distinctive,1
encourages,2
integrated,1
scholarship,1
communities.,1
university's,1
address,1
Virginia,4
university.,1
levels.,1
close,1
programs,4
skills,1
servants.,1
excitement,1
fourth,1
effective,1
leaders,1
its,7
prepare,1
institutions,1
that,3
goals,2
is,5
offered,1
give,1
stimulating,1
WM,5
program,4
humanities,1
mission,2
to,14
with,3
are,2
human,2
special,1
--,1
teaching,4
creativity,1
challenge,1
residential,1
proud,1
recognized,1
appreciation,1
confronting,1
responsibility,1
society.,1
of,14
expand,1
1693,1
generations,1
provide,2
understanding,2
adopts,1
williamsburg,1
breadth,1
provides,1
